Ranking,District,State,Population,Growth,Sex_Ratio,Literacy,Store_Score
563,Bilaspur,Himachal Pradesh,381956,12.05,981,84.59,0.315
564,Dimapur,Nagaland,378811,127.29,919,84.79,0.541
565,Dhalai,Tripura,378230,22.85,944,85.72,0.341
566,Dadra and Nagar Haveli,Dadra and Nagar Haveli,343709,55.88,774,76.24,0.358
567,Uttarkashi,Uttarakhand,330086,11.89,958,75.81,0.27
568,Samba,Jammu and Kashmir,318898,17.01,886,81.41,0.307
569,East Garo Hills,Meghalaya,317917,26.87,972,73.95,0.29
570,Reasi,Jammu and Kashmir,314667,27.04,890,58.15,0.213
571,Debagarh,Orissa,312520,14.01,975,72.57,0.258
572,Ganderbal,Jammu and Kashmir,297446,36.5,874,58.04,0.231
573,Ramban,Jammu and Kashmir,283713,31.99,902,54.27,0.203
574,East Sikkim,Sikkim,283583,15.73,873,83.85,0.315
575,Churachandpur,Manipur,274143,20.29,975,82.78,0.318
576,Kohima,Nagaland,267988,131.81,928,85.23,0.548
577,Shupiyan,Jammu and Kashmir,266215,25.97,951,60.76,0.222
578,Bageshwar,Uttarakhand,259898,4.18,1090,80.01,0.273
579,Champawat,Uttarakhand,259648,15.63,980,79.83,0.294
580,Ri Bhoi,Meghalaya,258840,34.26,953,75.67,0.31
581,Bijapur,Chhattisgarh,255230,8.78,984,40.86,0.091
582,Mon,Nagaland,250260,80.36,899,56.99,0.31
583,Rudraprayag,Uttarakhand,242285,6.53,1114,81.3,0.283
584,South Andaman,Andaman and Nicobar Islands,238142,14.23,871,89.13,0.336
585,Bishnupur,Manipur,237399,13.93,999,75.85,0.271
586,Kishtwar,Jammu and Kashmir,230696,20.88,920,56.2,0.189
587,The Dangs,Gujarat,228291,22.26,1006,75.16,0.283
588,Dima Hasao,Assam,214102,13.84,932,77.54,0.278
589,Karaikal,Puducherry,200222,17.23,1047,87.05,0.33
590,Tuensang,Nagaland,196596,94.83,929,73.08,0.414
591,Mokokchung,Nagaland,194622,60.94,925,91.62,0.438
592,Daman,Daman and Diu,191173,67.71,534,88.07,0.433
593,Ukhrul,Manipur,183998,30.7,943,81.35,0.328
594,Papumpare,Arunachal Pradesh,176573,44.73,980,79.95,0.349
595,Wokha,Nagaland,166343,98.81,968,87.69,0.492
596,Phek,Nagaland,163418,111.84,951,78.05,0.47
597,Lunglei,Mizoram,161428,17.64,947,88.86,0.338
598,Changlang,Arunachal Pradesh,148226,18.18,926,59.8,0.198
599,South Sikkim,Sikkim,146850,11.65,915,81.42,0.29
600,Lohit,Arunachal Pradesh,145726,16.59,912,68.18,0.235
601,Chandel,Manipur,144182,21.85,933,71.11,0.26
602,South Garo Hills,Meghalaya,142334,40.95,945,71.72,0.3
603,New Delhi,Delhi,142004,-20.72,822,88.34,0.26
604,Kargil,Jammu and Kashmir,140802,18.02,810,71.34,0.253
605,Zunheboto,Nagaland,140757,78.05,976,85.26,0.438
606,Tamenglong,Manipur,140651,26.15,943,70.05,0.263
607,Narayanpur,Chhattisgarh,139820,19.16,994,48.62,0.145
608,West Sikkim,Sikkim,136435,10.69,942,77.39,0.268
609,Leh,Jammu and Kashmir,133487,13.87,690,77.2,0.273
610,Champhai,Mizoram,125745,16.01,984,95.91,0.368
611,Lawngtlai,Mizoram,117894,60.14,945,65.88,0.308
612,West Siang,Arunachal Pradesh,112274,8.04,930,66.46,0.209
613,Tirap,Arunachal Pradesh,111975,11.61,944,52.19,0.147
614,North and Middle Andaman,Andaman and Nicobar Islands,105597,-0.02,925,83.91,0.278
615,East Siang,Arunachal Pradesh,99214,13.52,980,72.54,0.249
616,Peren,Nagaland,95219,104.15,915,77.95,0.452
617,Kurung Kumey,Arunachal Pradesh,92076,116.56,1032,48.75,0.335
618,Mamit,Mizoram,86364,37.56,927,84.93,0.355
619,Kinnaur,Himachal Pradesh,84121,7.39,819,80.0,0.272
620,Kolasib,Mizoram,83955,27.28,956,93.5,0.377
621,West Kameng,Arunachal Pradesh,83947,12.53,819,67.07,0.22
622,Upper Subansiri,Arunachal Pradesh,83448,50.78,998,63.8,0.279
623,Lower Subansiri,Arunachal Pradesh,83030,49.0,984,74.35,0.326
624,East Kameng,Arunachal Pradesh,78690,37.62,1029,60.02,0.234
625,Kiphire,Nagaland,74004,38.58,956,69.54,0.282
